null,weekday,day,month,eventname,time,location,metadate
,SAT,23,July,MadTadders at Towne Country Club,7pm - 11pm,"Towne Country Club | Edgerton, WI",2022-07-23T19:00
,SAT,6,Aug,MadTadders at Pelton Memorial Softball Tournament,8pm - 11pm,"Pelton Memorial Softball Tournament | Milton, WI",2022-08-06T20:00
,SUN,14,Aug,MadTadders at The Red Baron,3pm - 7pm,"The Red Baron | Edgerton, WI",2022-08-14T15:00
,SAT,17,Sept,MadTadders at The Island Bar,3pm - 7pm,"The Island Bar | Fort Atkinson, WI",2022-09-17T15:00
,SUN,25,Sept,MadTadders at The Red Baron,3pm - 7pm,"The Red Baron | Edgerton, WI",2022-09-25T15:00
